City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
320,Williamsport,US,41.24,-77.0,84.99,54,1,5.82,clear sky
321,Amazar,RU,53.86,120.88,51.69,90,100,7.02,moderate rain
322,Arraial Do Cabo,BR,-22.97,-42.03,71.6,68,75,11.41,broken clouds
323,Nhulunbuy,AU,-12.23,136.77,64.4,82,0,4.7,clear sky
324,Klaksvik,FO,62.23,-6.59,46.4,81,57,13.87,broken clouds
325,Usinsk,RU,65.99,57.53,47.61,79,0,6.2,clear sky
326,Seoul,KR,37.57,126.98,75.2,88,90,0.92,overcast clouds
327,College,US,64.86,-147.8,60.8,77,40,0.49,scattered clouds
328,Vestmannaeyjar,IS,63.44,-20.27,53.6,76,47,11.41,scattered clouds
329,Bardiyah,LY,31.76,25.09,75.97,82,0,10.25,clear sky
330,Aklavik,CA,68.22,-135.01,60.8,72,75,9.17,broken clouds
331,Senneterre,CA,48.38,-77.23,77.0,41,40,8.05,scattered clouds
332,Bratslav,UA,48.82,28.94,68.0,73,0,6.49,clear sky
333,Sibanicu,CU,21.23,-77.53,89.6,70,40,17.22,scattered clouds
334,Port Lincoln,AU,-34.73,135.87,46.85,82,6,2.08,clear sky
335,Acapulco,MX,16.86,-99.89,84.2,79,40,3.36,scattered clouds
336,Ahipara,NZ,-35.17,173.17,54.88,80,89,18.72,light rain
337,Shitanjing,CN,39.23,106.34,65.53,52,0,7.14,clear sky
338,Moyale,KE,3.52,39.06,70.93,61,84,6.02,broken clouds
339,Souillac,MU,-20.52,57.52,71.6,73,20,13.87,few clouds
340,Gusinoye Ozero,RU,51.11,106.26,56.12,83,100,2.93,light rain
341,Montepuez,MZ,-13.13,39.0,70.81,63,40,6.04,scattered clouds
342,Lincoln,US,40.8,-96.67,93.0,46,1,3.36,clear sky
343,Bunia,CD,1.57,30.25,64.33,92,95,2.55,overcast clouds
344,Erdenet,MN,49.03,104.08,46.24,87,0,2.86,clear sky
345,Chapais,CA,49.78,-74.85,68.0,52,40,11.41,scattered clouds
346,Namibe,AO,-15.2,12.15,66.52,87,71,1.74,broken clouds
347,Saquarema,BR,-22.92,-42.51,71.6,68,40,10.29,scattered clouds
348,General Roca,AR,-39.03,-67.58,66.2,24,0,3.36,clear sky
349,Waingapu,ID,-9.66,120.26,73.76,84,66,6.15,broken clouds
350,Quang Ngai,VN,15.12,108.8,77.47,87,100,4.9,overcast clouds
351,Warmbad,NA,-28.45,18.73,66.97,25,0,4.94,clear sky
352,Praia,CV,14.92,-23.51,82.4,74,75,9.17,broken clouds
353,Keti Bandar,PK,24.14,67.45,83.95,83,100,22.93,overcast clouds
354,Kattivakkam,IN,13.22,80.32,84.2,83,40,10.29,scattered clouds
355,Gushikawa,JP,26.35,127.87,82.4,88,75,18.34,light rain
356,Taikang,CN,46.83,124.42,66.9,90,100,7.58,overcast clouds
357,Redlands,US,34.06,-117.18,90.0,43,20,6.76,haze
358,Shimoda,JP,34.67,138.95,70.0,93,100,1.01,overcast clouds
359,Neiafu,TO,-18.65,-173.98,77.0,83,40,11.41,scattered clouds
360,Kyshtovka,RU,56.55,76.63,50.14,92,62,5.44,broken clouds
361,Pangnirtung,CA,66.15,-65.71,42.8,93,75,10.29,mist
